City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Saint-Augustin,CA,51.226,-58.6502,58.14,66,25,12.01,scattered clouds
152,Atambua,ID,-9.1061,124.8925,73.78,85,84,3.74,broken clouds
153,Asau,RO,46.4333,26.4,51.28,79,96,6.08,overcast clouds
154,Bethel,US,41.3712,-73.414,62.19,86,100,7.45,overcast clouds
155,Semnan,IR,35.5729,53.3971,73.47,31,0,6.96,clear sky
156,Hami,CN,42.8,93.45,52.74,46,0,4.97,clear sky
157,Victoria,HK,22.2855,114.1577,83.32,79,41,10.0,scattered clouds
158,Bukama,CD,-9.2,25.85,79.7,46,97,4.43,overcast clouds
159,Narsaq,GL,60.9167,-46.05,39.42,90,100,11.92,overcast clouds
160,Mokolo,CM,10.7398,13.8019,72.39,72,17,1.9,few clouds
161,Russell,US,32.3502,-85.1999,83.48,29,0,11.5,clear sky
162,Iraquara,BR,-12.2486,-41.6194,87.51,26,4,9.51,clear sky
163,Mount Isa,AU,-20.7333,139.5,67.77,100,65,4.61,broken clouds
164,La Ronge,CA,55.1001,-105.2842,43.02,45,40,9.22,scattered clouds
165,Bubaque,GW,11.2833,-15.8333,82.33,77,27,8.55,scattered clouds
166,Alice Springs,AU,-23.7,133.8833,58.55,77,0,4.61,clear sky
167,Eirunepe,BR,-6.6603,-69.8736,91.89,46,87,1.57,overcast clouds
168,Strezhevoy,RU,60.7333,77.5889,34.43,81,89,4.47,overcast clouds
169,Tiarei,PF,-17.5333,-149.3333,82.42,73,7,25.84,clear sky
170,Kuusamo,FI,65.9667,29.1833,44.64,93,75,12.66,broken clouds
171,La Libertad,EC,-2.2333,-80.9,73.06,78,75,12.66,broken clouds
172,Bonavista,CA,48.6499,-53.1147,57.85,69,8,11.72,clear sky
173,Beringovskiy,RU,63.05,179.3167,44.37,93,100,26.02,moderate rain
174,Wahpeton,US,46.2652,-96.6059,75.22,41,0,6.91,clear sky
175,Yeppoon,AU,-23.1333,150.7333,64.18,71,56,12.84,broken clouds
176,Nome,US,64.5011,-165.4064,35.67,87,75,8.05,broken clouds
177,Kirkwood,US,38.5834,-90.4068,79.48,35,75,5.75,broken clouds
178,Dali,CN,25.7,100.1833,61.29,93,92,4.12,overcast clouds
179,Bangaon,IN,23.0667,88.8167,76.75,94,23,5.39,few clouds
180,Hilo,US,19.7297,-155.09,87.28,76,0,8.05,clear sky
181,Krasnoselkup,RU,65.7,82.4667,32.67,93,100,8.48,overcast clouds
182,Kodiak,US,57.79,-152.4072,53.11,87,100,21.85,light rain
183,Pendleton,US,45.6721,-118.7886,88.2,36,0,8.05,clear sky
184,Boguchany,RU,58.3814,97.4531,32.11,96,100,5.3,overcast clouds
185,Eureka,US,40.8021,-124.1637,69.21,72,18,3.0,few clouds
186,Bosaso,SO,11.2842,49.1816,85.05,61,70,3.06,broken clouds
187,Olafsvik,IS,64.8945,-23.7142,44.33,68,100,9.28,overcast clouds
188,Darhan,MN,49.4867,105.9228,29.98,49,5,4.0,clear sky
189,Oranjemund,NA,-28.55,16.4333,55.49,90,23,9.64,few clouds
190,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.99,83,75,14.97,broken clouds
191,The Valley,AI,18.217,-63.0578,86.14,74,20,18.41,few clouds
192,Mitsamiouli,KM,-11.3847,43.2844,75.09,78,2,3.67,clear sky
193,Zarumilla,PE,-3.5031,-80.2731,82.24,78,20,5.75,few clouds
194,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,72,7.0,broken clouds
195,Carnarvon,AU,-24.8667,113.6333,62.31,60,32,23.31,scattered clouds
196,Pitlochry,GB,56.7051,-3.7343,46.92,88,65,9.55,light rain
197,Milledgeville,US,33.0801,-83.2321,84.09,32,0,4.18,clear sky
198,Shubarshi,KZ,48.5872,57.1869,50.16,24,99,9.82,overcast clouds
